sid,lat,lon,org
FT1_399,24.0626166667,120.533736667,LASS
YK_160,22.9988516667,120.245601667,LASS
FT1_928,23.7674,120.70629,LASS
FT1_CCH01,22.99614,120.228148333,LASS
CiXin001,24.68212,121.757741667,LASS
LASS-PI_014,25.0806433333,121.5721,LASS
FT1_384,24.16486,120.699045,LASS
FT1_384,24.1647566667,120.699083333,LASS
FT1_966,24.175575,120.669101667,LASS
YK_160,22.9987033333,120.245703333,LASS
FT1_399,24.0542116667,120.529165,LASS
FT1_928,23.767305,120.706356667,LASS
FT1_CCH01,22.9962016667,120.228063333,LASS
CiXin001,24.6823833333,121.757593333,LASS
FT1_966,24.1756083333,120.668946667,LASS
YK_160,22.9987566667,120.245585,LASS
FT1_928,23.7673083333,120.706315,LASS
FT1_399,24.055385,120.528751667,LASS
FT1_CCH01,22.996195,120.228163333,LASS
CiXin001,24.6822833333,121.757566667,LASS
FT1_386,24.1815716667,120.683735,LASS
FT1_115,23.457175,120.441746667,LASS
FT1_966,24.17516,120.668423333,LASS
YK_160,22.9987016667,120.245598333,LASS
FT1_399,24.0612416667,120.532111667,LASS
FT1_928,23.76724,120.70627,LASS
CiXin001,24.6822766667,121.757668333,LASS
LASS-PI_014,25.0805616667,121.572041667,LASS
FT1_384,24.164835,120.699178333,LASS
FT1_116,23.4792416667,120.449076667,LASS
YK_160,22.9986966667,120.245685,LASS
FT1_928,23.7672916667,120.70628,LASS
FT1_399,24.06379,120.53417,LASS
CiXin001,24.6824116667,121.757831667,LASS
LASS-PI_014,25.0806466667,121.5721,LASS
FT1_384,24.1648166667,120.699088333,LASS
FT1_928,23.7672783333,120.706325,LASS
FT1_399,24.0630733333,120.533878333,LASS
FT1_CCH01,22.9961083333,120.228116667,LASS
CiXin001,24.682505,121.75788,LASS
FT1_384,24.1649483333,120.698965,LASS
FT1_115,23.457095,120.441801667,LASS
FT_SYPS1,22.6854666667,120.491358333,LASS
YK_160,22.9985966667,120.245785,LASS
FT1_399,24.0649166667,120.535651667,LASS
FT1_CCH01,22.9961433333,120.228181667,LASS
CiXin001,24.682155,121.757778333,LASS
LASS-PI_014,25.0806583333,121.572116667,LASS
